obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
106.3020,0.0002,106.301293,0.000005,22000bl(Fe II)*,,,20805.7632,114877.996,3d7,a 2H,9/2,3d6.(3G).5p,2G*,9/2,,,L18349c140,
106.3020,0.0002,106.302174,0.000005,22000bl(Fe II)*,1.2e+08,D+,667.6829,94739.136,3d6.(5D).4s,a 6D,5/2,3d5.(4P).4s.4p.(3P*),4P*,3/2,,T6892c83,L18349c140,
106.3170,0.0005,106.317687,0.000005,33000,3.2e+08,D+,0.0000,94057.727,3d6.(5D).4s,a 6D,9/2,3d5.(4D).4s.4p.(3P*),6D*,9/2,,T6892c83,L18349c144,
106.3626,0.0002,106.362642,0.000020,20000bl(Fe II)*,1.4e+08,D+,862.6118,94880.585,3d6.(5D).4s,a 6D,3/2,3d5.(4P).4s.4p.(3P*),4P*,1/2,,T6892c83,L18349c140,
106.3626,0.0002,106.363290,0.000005,20000bl(Fe II)*,1.6e+07,D,667.6829,94685.083,3d6.(5D).4s,a 6D,5/2,3d5.(4D).4s.4p.(3P*),6P*,5/2,,T6892c83,L18349c140,
106.3970,0.0002,106.397179,0.000005,17000,3.5e+07,D+,0.0000,93987.454,3d6.(5D).4s,a 6D,9/2,3d5.(4D).4s.4p.(3P*),6D*,7/2,,T6892c83,L18349c140,
106.4226,0.0002,106.423022,0.000005,2700,,,20805.7632,114770.394,3d7,a 2H,9/2,3d6.(3G).5p,2H*,9/2,,,L18349c140,
106.4922,0.0002,106.492263,0.000020,2200,4.1e+07,D,977.0498,94880.585,3d6.(5D).4s,a 6D,1/2,3d5.(4P).4s.4p.(3P*),4P*,1/2,,T6892c83,L18349c140,
106.5841,0.0002,106.584274,0.000005,20000,6.7e+07,D+,862.6118,94685.083,3d6.(5D).4s,a 6D,3/2,3d5.(4D).4s.4p.(3P*),6P*,5/2,,T6892c83,L18349c140,
106.6137,0.0002,106.613077,0.000005,11000,,,16369.4098,110166.534,3d7,a 2G,7/2,3d6.(3F2).5p,4F*,9/2,,,L18349c140,
106.6528,0.0002,106.652917,0.000005,18000bl(Fe II)*,6.2e+07,D+,977.0498,94739.136,3d6.(5D).4s,a 6D,1/2,3d5.(4P).4s.4p.(3P*),4P*,3/2,,T6892c83,L18349c140,
106.6528,0.0002,106.653418,0.000005,18000bl(Fe II)*,,,20340.2461,114101.892,3d7,a 2H,11/2,3d6.(3G).5p,4H*,11/2,,,L18349c140,
106.6659,0.0005,106.665325,0.000015,8000,1.1e+07,D,7955.3186,101706.498,3d6.(5D).4s,a 4D,7/2,3d5.(4D).4s.4p.(3P*),4P*,5/2,,T6892c83,L18349c144,
106.7541,0.0002,106.754416,0.000005,21000,8.e+07,D+,384.7872,94057.727,3d6.(5D).4s,a 6D,7/2,3d5.(4D).4s.4p.(3P*),6D*,9/2,,T6892c83,L18349c140,
106.8156,0.0002,106.815592,0.000005,17000,,,21251.5833,114870.874,3d6.(3H).4s,a 4H,13/2,3d6.(3G).5p,4G*,11/2,,,L18349c140,
106.8341,0.0005,106.834563,0.000005,32000,1.6e+08,D+,384.7872,93987.454,3d6.(5D).4s,a 6D,7/2,3d5.(4D).4s.4p.(3P*),6D*,7/2,,T6892c83,L18349c144,
106.9017,0.0002,106.901908,0.000005,15000bl(Fe II)*,1.5e+07,D,667.6829,94211.383,3d6.(5D).4s,a 6D,5/2,3d5.(4P).4s.4p.(3P*),4P*,5/2,,T6892c83,L18349c140,
106.9017,0.0002,106.902154,0.000005,15000bl(Fe II)*,,,13474.4474,107017.932,3d7,a 4P,5/2,3d5.(2D3).4s.4p.(3P*),4D*,5/2,,,L18349c140,
106.9038,0.0002,106.902961,0.000005,9000,,,16369.4098,109912.188,3d7,a 2G,7/2,3d6.(3H).5p,4I*,9/2,,,L18349c140,
107.0124,0.0002,107.011799,0.000005,3400bl(Fe II)*,,,21430.3564,114877.996,3d6.(3H).4s,a 4H,11/2,3d6.(3G).5p,2G*,9/2,,,L18349c140,
107.0124,0.0002,107.013477,0.000005,3400bl(Fe II)*,2.7e+07,D,384.7872,93830.961,3d6.(5D).4s,a 6D,7/2,3d5.(4D).4s.4p.(3P*),6D*,5/2,,T6892c83,L18349c140,
107.1248,0.0002,107.125138,0.000005,8000,2.3e+07,D,862.6118,94211.383,3d6.(5D).4s,a 6D,3/2,3d5.(4P).4s.4p.(3P*),4P*,5/2,,T6892c83,L18349c140,
107.1582,0.0002,107.158428,0.000003,21000,1.1e+08,D+,667.6829,93987.454,3d6.(5D).4s,a 6D,5/2,3d5.(4D).4s.4p.(3P*),6D*,7/2,,T6892c83,L18349c140,
107.3277,0.0002,107.327550,0.000005,5000,4.1e+07,D,667.6829,93840.405,3d6.(5D).4s,a 6D,5/2,3d5.(4D).4s.4p.(3P*),6D*,3/2,,T6892c83,L18349c140,
107.3321,0.0002,107.332116,0.000005,17000bl(Fe II)*,1.7e+08,D+,862.6118,94031.370,3d6.(5D).4s,a 6D,3/2,3d5.(4D).4s.4p.(3P*),6D*,1/2,,T6892c83,L18349c140,
107.3321,0.0002,107.332433,0.000012,17000bl(Fe II)*,,,13673.2045,106841.688,3d7,a 4P,3/2,3d5.(2D3).4s.4p.(3P*),4P*,3/2,,,L18349c140,
107.3383,0.0002,107.338430,0.000005,19000,5.8e+07,D+,667.6829,93830.961,3d6.(5D).4s,a 6D,5/2,3d5.(4D).4s.4p.(3P*),6D*,5/2,,T6892c83,L18349c140,
107.4641,0.0002,107.464113,0.000005,2800,5.e+07,D,977.0498,94031.370,3d6.(5D).4s,a 6D,1/2,3d5.(4D).4s.4p.(3P*),6D*,1/2,,T6892c83,L18349c140,
107.5526,0.0002,107.552563,0.000005,2500,2.2e+07,D,862.6118,93840.405,3d6.(5D).4s,a 6D,3/2,3d5.(4D).4s.4p.(3P*),6D*,3/2,,T6892c83,L18349c140,
107.5633,0.0002,107.563489,0.000005,19000,9.e+07,D+,862.6118,93830.961,3d6.(5D).4s,a 6D,3/2,3d5.(4D).4s.4p.(3P*),6D*,5/2,,T6892c83,L18349c140,
107.6490,0.0002,107.650151,0.000017,1400,,,8680.4706,101573.977,3d6.(5D).4s,a 4D,3/2,3d5.(4D).4s.4p.(3P*),4P*,3/2,,,L18349c140,
107.6575,0.0002,107.658100,0.000003,12000,,,20805.7632,113692.411,3d7,a 2H,9/2,3d6.(5D<2>).5f,2[4]*,9/2,,,L18349c140,
107.6852,0.0002,107.685103,0.000005,19000,1.1e+08,D+,977.0498,93840.405,3d6.(5D).4s,a 6D,1/2,3d5.(4D).4s.4p.(3P*),6D*,3/2,,T6892c83,L18349c140,
107.9878,0.0002,107.988199,0.000005,6000,,,0.0000,92602.711,3d6.(5D).4s,a 6D,9/2,3d6.(3F1).4p,u 2G*,7/2,,,L18349c140,
108.1872,0.0002,108.187526,0.000005,19000,6.0e+07,D+,0.0000,92432.098,3d6.(5D).4s,a 6D,9/2,3d5.(4D).4s.4p.(3P*),6F*,11/2,,T6892c83,L18349c140,
108.3420,0.0002,108.342046,0.000005,18000,1.6e+07,D,0.0000,92300.269,3d6.(5D).4s,a 6D,9/2,3d5.(4D).4s.4p.(3P*),6F*,9/2,,T6892c83,L18349c140,
108.3869,0.0002,108.387405,0.000004,330,,,16369.4098,108631.052,3d7,a 2G,7/2,3d5.(4G).4s.4p.(1P*),4G*,7/2,,,L18349c140,
108.7953,0.0002,108.795600,0.000005,17000,4.8e+07,D+,384.7872,92300.269,3d6.(5D).4s,a 6D,7/2,3d5.(4D).4s.4p.(3P*),6F*,9/2,,T6892c83,L18349c140,
108.9687,0.0002,108.968824,0.000005,17000,3.1e+07,D+,384.7872,92154.154,3d6.(5D).4s,a 6D,7/2,3d5.(4D).4s.4p.(3P*),6F*,7/2,,T6892c83,L18349c140,
109.1528,0.0002,109.152368,0.000005,10000,1.7e+07,D,1872.5998,93487.653,3d7,a 4F,9/2,3d6.(3F1).4p,u 4F*,7/2,,T6892c83,L18349c140,
109.1560,0.0002,109.156003,0.000007,15000,3.2e+07,D+,1872.5998,93484.602,3d7,a 4F,9/2,3d6.(3F1).4p,u 4F*,9/2,,T6892c83,L18349c140,
109.3056,0.0002,109.305779,0.000005,16000,3.9e+07,D+,667.6829,92154.154,3d6.(5D).4s,a 6D,5/2,3d5.(4D).4s.4p.(3P*),6F*,7/2,,T6892c83,L18349c140,
109.4677,0.0002,109.467824,0.000004,17000,4.8e+07,D+,667.6829,92018.727,3d6.(5D).4s,a 6D,5/2,3d5.(4D).4s.4p.(3P*),6F*,5/2,,T6892c83,L18349c140,
109.5805,0.0002,109.580300,0.000007,8000,1.6e+07,D,1872.5998,93129.879,3d7,a 4F,9/2,3d6.(3F1).4p,4D*,7/2,,T6892c83,L18349c140,
109.5922,0.0002,109.591579,0.000004,14000,,,667.6829,91915.570,3d6.(5D).4s,a 6D,5/2,3d5.(4D).4s.4p.(3P*),6F*,3/2,,,L18349c140,
109.6603,0.0002,109.660712,0.000004,17000,1.5e+08,D+,384.7872,91575.149,3d6.(5D).4s,a 6D,7/2,3d6.(5D).5p,w 6P*,5/2,,T6892c83,L18349c140,
109.6783,0.0002,109.678223,0.000004,14000,8.e+07,D+,667.6829,91843.485,3d6.(5D).4s,a 6D,5/2,3d6.(5D).5p,w 6P*,3/2,,T6892c83,L18349c140,
109.6871,0.0005,109.687687,0.000004,40000,2.3e+08,D+,0.0000,91167.936,3d6.(5D).4s,a 6D,9/2,3d6.(5D).5p,w 6P*,7/2,,T6892c83,L18349c144,
109.7019,0.0002,109.701911,0.000005,16000,3.0e+07,D,862.6118,92018.727,3d6.(5D).4s,a 6D,3/2,3d5.(4D).4s.4p.(3P*),6F*,5/2,,T6892c83,L18349c140,
109.7083,0.0002,109.709029,0.000005,900,,,2837.9807,93988.181,3d7,a 4F,5/2,3d5.(4G).4s.4p.(3P*),w 4G*,5/2,,,L18349c140,
109.7786,0.0002,109.778498,0.000005,11000,,,21251.5833,112344.103,3d6.(3H).4s,a 4H,13/2,3d5.(4F).4s.4p.(3P*),4G*,11/2,,,L18349c140,
109.8210,0.0002,109.820698,0.000005,10000,1.4e+07,D,2430.1369,93487.653,3d7,a 4F,7/2,3d6.(3F1).4p,u 4F*,7/2,,T6892c83,L18349c140,
109.8254,0.0002,109.826196,0.000005,17000,7.0e+07,D+,862.6118,91915.570,3d6.(5D).4s,a 6D,3/2,3d5.(4D).4s.4p.(3P*),6F*,3/2,,T6892c83,L18349c140,
109.9046,0.0002,109.904636,0.000005,4000,,,862.6118,91850.584,3d6.(5D).4s,a 6D,3/2,3d5.(4D).4s.4p.(3P*),6F*,1/2,,,L18349c140,
109.9132,0.0002,109.913212,0.000005,17000,7.3e+07,D+,862.6118,91843.485,3d6.(5D).4s,a 6D,3/2,3d6.(5D).5p,w 6P*,3/2,,T6892c83,L18349c140,
109.9320,0.0002,109.93207,0.00004,1500,1.2e+07,D,2430.1369,93395.407,3d7,a 4F,7/2,3d6.(3F1).4p,u 4F*,5/2,,T6892c83,L18349c140,
