Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(5D).4s,a 6D,9/2,,0.0000,,0.0000,,1.58, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 6D,7/2,,384.7872,,0.0003,384.7872,1.58, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 6D,5/2,,667.6829,,0.0003,282.8957,1.655, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 6D,3/2,,862.6118,,0.0004,194.9289,1.862, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 6D,1/2,,977.0498,,0.0004,114.4380,3.31, 100                                                                         ,"L18349,L18361c138"
3d7,a 4F,9/2,,1872.5998,,0.0006,895.5500,1.33, 100                                                                         ,"L18349,L18361c138"
3d7,a 4F,7/2,,2430.1369,,0.0006,557.5371,1.223, 100                                                                         ,"L18349,L18361c138"
3d7,a 4F,5/2,,2837.9807,,0.0007,407.8438,1.02, 100                                                                         ,"L18349,L18361c138"
3d7,a 4F,3/2,,3117.4877,,0.0008,279.507,0.385, 100                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 4D,7/2,,7955.3186,,0.0007,4837.831,1.419,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 4D,5/2,,8391.9554,,0.0007,436.6368,1.365,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 4D,3/2,,8680.4706,,0.0007,288.5152,1.200,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4s,a 4D,1/2,,8846.7837,,0.0008,166.313,-0.05,  99                                                                         ,"L18349,L18361c138"
3d7,a 4P,5/2,,13474.4474,,0.0009,4627.664,1.609,  98                                                                         ,"L18349,L18361c138"
3d7,a 4P,3/2,,13673.2045,,0.0010,198.757,1.737,  96                                  :     2  3d7                     2P    ,"L18349,L18361c138"
3d7,a 4P,1/2,,13904.8604,,0.0012,231.656,2.67,  98                                                                         ,"L18349,L18361c138"
3d7,a 2G,9/2,,15844.6485,,0.0012,1939.788,,  98                                                                         ,"L18349,L18361c138"
3d7,a 2G,7/2,,16369.4098,,0.0013,524.761,, 100                                                                         ,"L18349,L18361c138"
3d7,a 2P,3/2,,18360.6399,,0.0016,1991.230,1.28,  90                                  :     6  3d7                     2D2   ,"L18349,L18361c138"
3d7,a 2P,1/2,,18886.773,,0.002,526.133,,  98                                                                         ,"L18349,L18361c138"
3d7,a 2H,11/2,,20340.2461,,0.0013,1453.473,,  99                                                                         ,"L18349,L18361c138"
3d7,a 2D2,5/2,,20516.9534,,0.0016,176.707,1.22,  74                                  :    23  3d7                     2D1   ,"L18349,L18361c138"
3d7,a 2H,9/2,,20805.7632,,0.0014,288.810,0.92,  98                                                                         ,"L18349,L18361c138"
3d6.(3P2).4s,b 4P,5/2,,20830.5534,,0.0011,24.790,1.583,  60                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138"
3d6.(3H).4s,a 4H,13/2,,21251.5833,,0.0011,421.030,1.20, 100                                                                         ,"L18349,L18361c138"
3d7,a 2D2,3/2,,21307.999,,0.002,56.416,,  72                                  :    20  3d7                     2D1   ,"L18349,L18361c138"
3d6.(3H).4s,a 4H,11/2,,21430.3564,,0.0010,122.357,1.119,  99                                                                         ,"L18349,L18361c138"
3d6.(3H).4s,a 4H,9/2,,21581.6151,,0.0011,151.259,0.951,  98                                                                         ,"L18349,L18361c138"
3d6.(3H).4s,a 4H,7/2,,21711.8963,,0.0011,130.281,0.661,  98                                                                         ,"L18349,L18361c138"
3d6.(3P2).4s,b 4P,3/2,,21812.0454,,0.0012,100.149,1.720,  60                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138"
3d6.(3P2).4s,b 4P,1/2,,22409.8178,,0.0013,597.772,2.68,  61                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138"
3d6.(3F2).4s,b 4F,9/2,,22637.1950,,0.0011,227.377,1.307,  76                                  :    21  3d6.(3F1).4s            4F    ,"L18349,L18361c138"
3d6.(3F2).4s,b 4F,7/2,,22810.3459,,0.0011,173.151,1.210,  77                                  :    20  3d6.(3F1).4s            4F    ,"L18349,L18361c138"
3d6.(3F2).4s,b 4F,5/2,,22939.3512,,0.0011,129.005,1.019,  78                                  :    20  3d6.(3F1).4s            4F    ,"L18349,L18361c138"
3d6.(3F2).4s,b 4F,3/2,,23031.2829,,0.0011,91.932,0.398,  80                                  :    20  3d6.(3F1).4s            4F    ,"L18349,L18361c138"
3d5.4s2,a 6S,5/2,,23317.6351,,0.0011,286.352,1.996,  98                                  :     2  3d5.(6S).4p2            6S    ,"L18349,L18361c138"
3d6.(3G).4s,a 4G,11/2,,25428.7893,,0.0012,2111.154,1.237,  84                                  :    15  3d6.(3H).4s             2H    ,"L18349,L18361c138"
3d6.(3P2).4s,b 2P,3/2,,25787.5816,,0.0013,358.792,1.33,  60                                  :    37  3d6.(3P1).4s            2P    ,"L18349,L18361c138"
3d6.(3G).4s,a 4G,9/2,,25805.3270,,0.0012,17.745,1.15,  92                                  :     5  3d6.(3H).4s             2H    ,"L18349,L18361c138"
3d6.(3G).4s,a 4G,7/2,,25981.6451,,0.0012,176.318,0.98,  95                                  :     2  3d6.(3F2).4s            4F    ,"L18349,L18361c138"
3d6.(3G).4s,a 4G,5/2,,26055.4120,,0.0013,73.767,0.574,  95                                  :     3  3d6.(3F2).4s            2F    ,"L18349,L18361c138"
3d6.(3H).4s,b 2H,11/2,,26170.1810,,0.0013,114.769,1.09,  84                                  :    15  3d6.(3G).4s             4G    ,"L18349,L18361c138"
3d6.(3H).4s,b 2H,9/2,,26352.7671,,0.0013,182.586,0.927,  92                                  :     5  3d6.(3G).4s             4G    ,"L18349,L18361c138"
3d6.(3P2).4s,b 2P,1/2,,26932.7348,,0.0016,579.968,0.67,  61                                  :    37  3d6.(3P1).4s            2P    ,"L18349,L18361c138"
3d6.(3F2).4s,a 2F,7/2,,27314.9183,,0.0013,382.184,1.129,  72                                  :    20  3d6.(3F1).4s            2F    ,"L18349,L18361c138"
3d6.(3F2).4s,a 2F,5/2,,27620.4033,,0.0013,305.485,0.851,  74                                  :    19  3d6.(3F1).4s            2F    ,"L18349,L18361c138"
3d6.(3G).4s,b 2G,9/2,,30388.5451,,0.0014,2768.142,1.10,  98                                                                         ,"L18349,L18361c138"
3d6.(3G).4s,b 2G,7/2,,30764.4737,,0.0015,375.929,0.898,  97                                                                         ,"L18349,L18361c138"
3d6.(3D).4s,b 4D,3/2,,31364.4554,,0.0016,599.982,,  99                                                                         ,"L18349,L18361c138"
3d6.(3D).4s,b 4D,1/2,,31368.453,,0.002,3.998,,  99                                                                         ,"L18349,L18361c138"
3d6.(3D).4s,b 4D,5/2,,31387.9788,,0.0015,19.526,1.327,  99                                                                         ,"L18349,L18361c138"
3d6.(3D).4s,b 4D,7/2,,31483.1979,,0.0014,95.219,1.41,  99                                                                         ,"L18349,L18361c138"
3d7,b 2F,5/2,,31811.814,,0.003,328.616,0.86,  97                                  :     2  3d6.(3F2).4s            2F    ,"L18349,L18361c138"
3d7,b 2F,7/2,,31999.049,,0.002,187.235,1.124,  96                                  :     2  3d6.(3F2).4s            2F    ,"L18349,L18361c138"
3d6.(1I).4s,a 2I,13/2,,32875.6409,,0.0019,876.592,1.062, 100                                                                         ,"L18349,L18361c138"
3d6.(1I).4s,a 2I,11/2,,32909.883,,0.003,34.242,0.92,  99                                                                         ,"L18349,L18361c138"
3d6.(1G2).4s,c 2G,9/2,,33466.4943,,0.0019,556.611,1.099,  65                                  :    34  3d6.(1G1).4s            2G    ,"L18349,L18361c138"
3d6.(1G2).4s,c 2G,7/2,,33501.2957,,0.0019,34.801,0.88,  64                                  :    33  3d6.(1G1).4s            2G    ,"L18349,L18361c138"
3d6.(3D).4s,b 2D,3/2,,36126.412,,0.002,2625.116,0.799,  96                                  :     2  3d6.(1D2).4s            2D    ,"L18349,L18361c138"
3d6.(3D).4s,b 2D,5/2,,36252.931,,0.002,126.519,1.179,  98                                                                         ,"L18349,L18361c138"
3d6.(1S2).4s,a 2S,1/2,,37227.277,,0.004,974.346,2.06,  76                                  :    23  3d6.(1S1).4s            2S    ,"L18349,L18361c138"
3d6.(1D2).4s,c 2D,5/2,,38164.220,,0.003,936.943,1.176,  75                                  :    22  3d6.(1D1).4s            2D    ,"L18349,L18361c138"
3d6.(1D2).4s,c 2D,3/2,,38214.503,,0.003,50.283,0.79,  74                                  :    21  3d6.(1D1).4s            2D    ,"L18349,L18361c138"
3d6.(5D).4p,z 6D*,9/2,,38458.9934,,0.0016,244.490,1.542,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6D*,7/2,,38660.0537,,0.0016,201.060,1.584,  97                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6D*,5/2,,38858.9696,,0.0016,198.916,1.653,  98                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6D*,3/2,,39013.2160,,0.0017,154.246,1.86,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6D*,1/2,,39109.3161,,0.0017,96.100,3.35,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6F*,11/2,,41968.0698,,0.0018,2858.754,,  99                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6F*,9/2,,42114.8380,,0.0017,146.768,1.43,  96                                  :     2  3d6.(5D).4p             4F*   ,"L18349,L18361c138"
3d6.(5D).4p,z 6F*,7/2,,42237.0575,,0.0018,122.219,1.399,  95                                  :     2  3d6.(5D).4p             4F*   ,"L18349,L18361c138"
3d6.(5D).4p,z 6F*,5/2,,42334.8444,,0.0018,97.787,1.304,  97                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6F*,3/2,,42401.3198,,0.0018,66.475,1.04,  98                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6F*,1/2,,42439.8511,,0.0018,38.531,-0.647,  98                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 6P*,7/2,,42658.2444,,0.0018,218.393,1.702,  92                                  :     4  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138"
3d6.(5D).4p,z 6P*,5/2,,43238.6066,,0.0018,580.362,1.869,  94                                  :     4  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138"
3d6.(5D).4p,z 6P*,3/2,,43620.9842,,0.0018,382.378,2.398,  95                                  :     4  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138"
3d6.(5D).4p,z 4F*,9/2,,44232.5398,,0.0018,611.556,1.32,  95                                  :     3  3d6.(5D).4p             6F*   ,"L18349,L18361c138"
3d6.(5D).4p,z 4D*,7/2,,44446.9051,,0.0018,214.365,1.40,  80                                  :    15  3d6.(5D).4p             4F*   ,"L18349,L18361c138"
3d6.(5D).4p,z 4F*,7/2,,44753.8179,,0.0019,306.913,1.29,  81                                  :    15  3d6.(5D).4p             4D*   ,"L18349,L18361c138"
3d6.(5D).4p,z 4D*,5/2,,44784.7859,,0.0019,30.968,1.35,  83                                  :    12  3d6.(5D).4p             4F*   ,"L18349,L18361c138"
3d6.(1F).4s,c 2F,7/2,,44915.057,,0.002,130.271,,  98                                                                         ,"L18349,L18361c138"
3d6.(1F).4s,c 2F,5/2,,44929.532,,0.002,14.475,,  98                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 4D*,3/2,,45044.1916,,0.0019,114.660,1.15,  88                                  :     8  3d6.(5D).4p             4F*   ,"L18349,L18361c138"
3d6.(5D).4p,z 4F*,5/2,,45079.9019,,0.0019,35.710,1.069,  84                                  :    12  3d6.(5D).4p             4D*   ,"L18349,L18361c138"
3d6.(5D).4p,z 4D*,1/2,,45206.4704,,0.0019,126.569,-0.021,  95                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 4F*,3/2,,45289.8248,,0.0019,83.354,0.445,  90                                  :     7  3d6.(5D).4p             4D*   ,"L18349,L18361c138"
3d6.(5D).4p,z 4P*,5/2,,46967.4751,,0.0019,1677.650,1.592,  96                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 4P*,3/2,,47389.809,,0.002,422.334,1.717,  96                                                                         ,"L18349,L18361c138"
3d6.(5D).4p,z 4P*,1/2,,47626.110,,0.002,236.301,2.70,  96                                                                         ,"L18349,L18361c138"
3d7,d 2D1,3/2,,47674.728,,0.003,48.618,,  77                                  :    22  3d7                     2D2   ,"L18349,L18361c138"
3d7,d 2D1,5/2,,48039.109,,0.002,364.381,,  75                                  :    24  3d7                     2D2   ,"L18349,L18361c138"
3d6.(3P1).4s,c 4P,1/2,,49100.956,,0.004,1061.847,,  62                                  :    37  3d6.(3P2).4s            4P    ,"L18349,L18361c138"
3d6.(3P1).4s,c 4P,3/2,,49506.922,,0.003,405.966,,  62                                  :    38  3d6.(3P2).4s            4P    ,"L18349,L18361c138"
3d6.(3F1).4s,c 4F,3/2,,50075.921,,0.003,568.999,,  80                                  :    20  3d6.(3F2).4s            4F    ,"L18349,L18361c138"
3d6.(3F1).4s,c 4F,5/2,,50142.811,,0.003,66.890,,  76                                  :    19  3d6.(3F2).4s            4F    ,"L18349,L18361c138"
3d6.(3F1).4s,c 4F,9/2,,50157.475,,0.002,14.664,,  78                                  :    21  3d6.(3F2).4s            4F    ,"L18349,L18361c138"
3d6.(3F1).4s,c 4F,7/2,,50187.822,,0.002,30.347,,  78                                  :    20  3d6.(3F2).4s            4F    ,"L18349,L18361c138"
3d6.(3P1).4s,c 4P,5/2,,50212.836,,0.002,25.014,,  59                                  :    37  3d6.(3P2).4s            4P    ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),z 8P*,5/2,,52299.810,,0.003,2086.974,, 100  3d5.4s.(7S).4p 8P*                                                     ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),z 8P*,7/2,,52582.850,,0.003,283.040,, 100  3d5.4s.(7S).4p 8P*                                                     ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),z 8P*,9/2,,52966.173,,0.003,383.323,, 100  3d5.4s.(7S).4p 8P*                                                     ,"L18349,L18361c138"
3d6.(3P1).4s,c 2P,1/2,,54063.358,,0.007,1097.185,,  62                                  :    37  3d6.(3P2).4s            2P    ,"L18349,L18361c138"
3d5.4s2,b 4G,11/2,,54232.201,,0.002,168.843,,  98  3d5.4s2 4G                      :     2  3d5.(4G).4p2            4G    ,"L18349,L18361c138"
3d5.4s2,b 4G,9/2,,54273.656,,0.002,41.455,,  98                                  :     2  3d5.(4G).4p2            4G    ,"L18349,L18361c138"
3d5.4s2,b 4G,5/2,,54275.649,,0.002,1.993,,  97                                  :     2  3d5.(4G).4p2            4G    ,"L18349,L18361c138"
3d5.4s2,b 4G,7/2,,54283.236,,0.002,7.587,,  98                                  :     2  3d5.(4G).4p2            4G    ,"L18349,L18361c138"
3d6.(3F1).4s,d 2F,5/2,,54870.541,,0.003,587.305,,  79                                  :    20  3d6.(3F2).4s            2F    ,"L18349,L18361c138"
3d6.(3P1).4s,c 2P,3/2,,54902.286,,0.003,31.745,,  61                                  :    38  3d6.(3P2).4s            2P    ,"L18349,L18361c138"
3d6.(3F1).4s,d 2F,7/2,,54904.241,,0.003,1.955,,  78                                  :    21  3d6.(3F2).4s            2F    ,"L18349,L18361c138"
3d5.4s2,d 4P,5/2,,57411.086,,0.002,2506.845,,  91                                  :     6  3d5.4s2                 4D    ,"L18349,L18361c138"
3d5.4s2,d 4P,3/2,,57493.333,,0.002,82.247,,  93                                  :     5  3d5.4s2                 4D    ,"L18349,L18361c138"
3d5.4s2,d 4P,1/2,,57578.490,,0.003,85.157,,  96                                  :     2  3d5.(4P).4p2            4P    ,"L18349,L18361c138"
3d6.(1G1).4s,d 2G,9/2,,58631.623,,0.005,1053.133,,  65                                  :    34  3d6.(1G2).4s            2G    ,"L18349,L18361c138"
3d6.(1G1).4s,d 2G,7/2,,58666.199,,0.004,34.576,,  65                                  :    34  3d6.(1G2).4s            2G    ,"L18349,L18361c138"
3d6.(3P2).4p,z 4S*,3/2,,59663.440,,0.003,997.241,1.89,  41                                  :    21  3d6.(3P2).4p            4P*   ,"L18349,L18361c138"
3d5.4s2,c 4D,7/2,,60270.351,,0.003,606.911,,  97                                  :     2  3d5.(4D).4p2            4D    ,"L18349,L18361c138"
3d5.4s2,c 4D,1/2,,60384.368,,0.003,114.017,,  96                                  :     2  3d5.(4D).4p2            4D    ,"L18349,L18361c138"
3d6.(3P2).4p,y 4P*,5/2,,60402.333,,0.003,17.965,1.58,  46                                  :    37  3d6.(3P1).4p            4P*   ,"L18349,L18361c138"
3d5.4s2,c 4D,3/2,,60441.042,,0.003,38.709,,  93                                  :     5  3d5.4s2                 4P    ,"L18349,L18361c138"
3d5.4s2,c 4D,5/2,,60445.279,,0.003,4.237,,  92                                  :     6  3d5.4s2                 4P    ,"L18349,L18361c138"
3d6.(3H).4p,z 4G*,11/2,,60625.446,,0.003,180.167,1.24,  68                                  :    23  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4G*,9/2,,60807.239,,0.003,181.793,1.155,  57                                  :    29  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4H*,13/2,,60837.560,,0.003,30.321,,  51                                  :    37  3d6.(3H).4p             4I*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4H*,11/2,,60887.606,,0.003,50.046,,  47                                  :    40  3d6.(3H).4p             4I*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4G*,7/2,,60956.781,,0.003,69.175,0.969,  53                                  :    34  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4H*,9/2,,60989.444,,0.003,32.663,,  51                                  :    34  3d6.(3H).4p             4I*   ,"L18349,L18361c138"
3d6.(3P2).4p,y 4P*,1/2,,61035.285,,0.003,45.841,2.613,  52                                  :    42  3d6.(3P1).4p            4P*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4G*,5/2,,61041.734,,0.003,6.449,0.799,  31                                  :    23  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(3P2).4p,z 2D*,5/2,,61093.406,,0.003,51.672,1.01,  26                                  :    21  3d6.(3H).4p             4G*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4H*,7/2,,61156.827,,0.003,63.421,0.720,  72                                  :     9  3d6.(3H).4p             2G*   ,"L18349,L18361c138"
3d6.(3P2).4p,y 4P*,3/2,,61332.753,,0.003,175.926,1.74,  25  3d6.(3P2).4p 4S*                :    23  3d6.(3P2).4p            4P*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4I*,15/2,,61347.566,,0.003,14.813,, 100                                                                         ,"L18349,L18361c138"
3d6.(3H).4p,z 4I*,9/2,,61512.630,,0.003,165.064,,  61                                  :    26  3d6.(3H).4p             4H*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4I*,13/2,,61527.610,,0.003,14.980,,  52                                  :    39  3d6.(3H).4p             4H*   ,"L18349,L18361c138"
3d6.(3H).4p,z 4I*,11/2,,61587.205,,0.003,59.595,,  54                                  :    39  3d6.(3H).4p             4H*   ,"L18349,L18361c138"
3d6.(3P2).4p,y 4D*,7/2,,61726.069,,0.003,138.864,1.411,  55                                  :    33  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),y 6P*,3/2,,61974.931,,0.003,248.862,,  48  3d5.4s.(5S).4p 6P*              :    47  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),y 6P*,5/2,,62049.042,,0.003,74.111,,  49  3d5.4s.(7S).4p 6P*              :    48  3d5.4s.(5S).4p          6P*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 4F*,7/2,,62065.528,,0.003,16.486,1.198,  37                                  :    12  3d6.(3F1).4p            4F*   ,"L18349,L18361c138"
3d6.(3H).4p,z 2G*,9/2,,62083.118,,0.003,17.590,1.097,  64                                  :    14  3d6.(3G).4p             2G*   ,"L18349,L18361c138"
3d6.(3P2).4p,z 2D*,3/2,,62125.604,,0.003,42.486,1.019,  33                                  :    22  3d6.(3P1).4p            2D*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 4F*,5/2,,62151.554,,0.003,25.950,1.025,  59                                  :    19  3d6.(3F1).4p            4F*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 4F*,9/2,,62158.126,,0.003,6.572,1.33,  63                                  :    21  3d6.(3F1).4p            4F*   ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),y 6P*,7/2,,62171.624,,0.003,13.498,1.68,  49  3d5.4s.(7S).4p 6P*              :    45  3d5.4s.(5S).4p          6P*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 4F*,3/2,,62244.515,,0.003,72.891,0.43,  66                                  :    20  3d6.(3F1).4p            4F*   ,"L18349,L18361c138"
3d6.(3H).4p,z 2I*,13/2,,62293.177,,0.003,48.662,1.069,  88                                  :    10  3d6.(3H).4p             4I*   ,"L18349,L18361c138"
3d6.(3H).4p,z 2G*,7/2,,62322.445,,0.003,29.268,,  47                                  :    15  3d6.(3F2).4p            4F*   ,"L18349,L18361c138"
3d6.(3H).4p,z 2I*,11/2,,62662.252,,0.003,339.807,0.910,  92                                  :     4  3d6.(3H).4p             4I*   ,"L18349,L18361c138"
3d6.(3P2).4p,y 4D*,5/2,,62689.874,,0.003,27.622,1.349,  46                                  :    27  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d6.(3P2).4p,y 4D*,1/2,,62829.071,,0.003,139.197,,  60                                  :    33  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d6.(3F2).4p,x 4D*,7/2,,62945.045,,0.003,115.974,1.385,  59                                  :    14  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(3P2).4p,y 4D*,3/2,,62962.215,,0.003,17.170,1.14,  43                                  :    25  3d6.(3P1).4p            4D*   ,"L18349,L18361c138"
3d6.(3F2).4p,x 4D*,5/2,,63272.981,,0.003,310.766,1.351,  66                                  :    14  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(3F2).4p,x 4D*,3/2,,63465.134,,0.003,192.153,1.21,  71                                  :    15  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(3F2).4p,x 4D*,1/2,,63559.498,,0.003,94.364,0.013,  72                                  :    15  3d6.(3F1).4p            4D*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 4G*,11/2,,63876.325,,0.003,316.827,1.24,  52                                  :    26  3d6.(3H).4p             4G*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 4G*,9/2,,63948.803,,0.003,72.478,1.15,  42                                  :    29  3d6.(3H).4p             4G*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 4G*,7/2,,64040.891,,0.003,92.088,0.975,  39                                  :    33  3d6.(3H).4p             4G*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 4G*,5/2,,64087.408,,0.003,46.517,0.617,  37  3d6.(3H).4p 4G*                 :    35  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(3F2).4p,z 2F*,7/2,,64286.354,,0.003,198.946,1.135,  41                                  :    17  3d6.(3F1).4p            2F*   ,"L18349,L18361c138"
3d6.(3F2).4p,z 2F*,5/2,,64425.405,,0.003,139.051,0.82,  45                                  :    18  3d6.(3F1).4p            2F*   ,"L18349,L18361c138"
3d6.(3P2).4p,z 2P*,1/2,,64806.494,,0.003,381.089,,  47                                  :    32  3d6.(3P1).4p            2P*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 2G*,9/2,,64831.951,,0.003,25.457,1.101,  62                                  :    16  3d6.(3F1).4p            2G*   ,"L18349,L18361c138"
3d6.(3P2).4p,z 2P*,3/2,,64834.069,,0.003,2.118,1.329,  54                                  :    34  3d6.(3P1).4p            2P*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 2G*,7/2,,65109.691,,0.003,275.622,0.896,  64                                  :    15  3d6.(3F1).4p            2G*   ,"L18349,L18361c138"
3d6.(3H).4p,z 2H*,11/2,,65363.607,,0.003,253.916,1.066,  60                                  :    22  3d6.(3G).4p             2H*   ,"L18349,L18361c138"
3d6.(3H).4p,z 2H*,9/2,,65556.271,,0.003,192.664,0.913,  63                                  :    22  3d6.(3G).4p             2H*   ,"L18349,L18361c138"
3d6.(3G).4p,x 4G*,11/2,,65580.065,,0.003,23.794,,  83                                  :     7  3d6.(3G).4p             2H*   ,"L18349,L18361c138"
3d6.(3G).4p,x 4G*,9/2,,65696.053,,0.003,115.988,,  55                                  :    32  3d6.(3G).4p             4F*   ,"L18349,L18361c138"
3d6.(3G).4p,x 4G*,7/2,,65931.358,,0.003,235.305,1.00,  76                                  :    11  3d6.(3G).4p             4F*   ,"L18349,L18361c138"
3d6.(3G).4p,x 4F*,9/2,,66012.775,,0.003,81.417,,  52                                  :    34  3d6.(3G).4p             4G*   ,"L18349,L18361c138"
3d6.(3G).4p,x 4G*,5/2,,66078.272,,0.003,65.497,0.62,  83                                  :     4  3d6.(3F2).4p            4G*   ,"L18349,L18361c138"
3d6.(3P2).4p,z 2S*,1/2,,66248.647,,0.003,170.375,,  58                                  :    31  3d6.(3P1).4p            2S*   ,"L18349,L18361c138"
3d6.(3G).4p,x 4F*,7/2,,66377.315,,0.003,128.668,1.21,  71                                  :    13  3d6.(3G).4p             4G*   ,"L18349,L18361c138"
3d6.(3G).4p,y 4H*,13/2,,66411.712,,0.003,34.397,,  90                                  :     8  3d6.(3H).4p             4H*   ,"L18349,L18361c138"
3d6.(3G).4p,y 4H*,11/2,,66463.542,,0.003,51.830,1.13,  77                                  :     7  3d6.(3H).4p             2H*   ,"L18349,L18361c138"
3d6.(3G).4p,x 4F*,5/2,,66522.310,,0.003,58.768,1.02,  62                                  :    13  3d6.(3F2).4p            2D*   ,"L18349,L18361c138"
3d6.(3G).4p,y 4H*,9/2,,66589.042,,0.003,66.732,0.959,  83                                  :     8  3d6.(3H).4p             4H*   ,"L18349,L18361c138"
3d6.(3G).4p,x 4F*,3/2,,66612.659,,0.003,23.617,,  62                                  :    17  3d6.(3F2).4p            2D*   ,"L18349,L18361c138"
3d6.(3G).4p,y 4H*,7/2,,66672.336,,0.003,59.677,0.69,  86                                  :    10  3d6.(3H).4p             4H*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 2D*,5/2,,67000.530,,0.003,328.194,1.16,  59                                  :    15  3d6.(3G).4p             4F*   ,"L18349,L18361c138"
3d6.(3F2).4p,y 2D*,3/2,,67273.833,,0.003,273.303,0.719,  54                                  :    19  3d6.(3G).4p             4F*   ,"L18349,L18361c138"
3d6.(3G).4p,y 2H*,11/2,,67516.328,,0.003,242.495,1.07,  57                                  :    26  3d6.(3H).4p             2H*   ,"L18349,L18361c138"
3d6.(3G).4p,y 2H*,9/2,,68000.785,,0.003,484.457,0.907,  62                                  :    26  3d6.(3H).4p             2H*   ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),x 4P*,5/2,,69102.427,,0.003,1101.642,,  96  3d5.4s.(5S).4p 4P*                                                     ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),x 4P*,3/2,,69302.086,,0.004,199.659,,  96  3d5.4s.(5S).4p 4P*                                                     ,"L18349,L18361c138"
3d5.(6S).4s.4p.(3P*),x 4P*,1/2,,69427.014,,0.004,124.928,,  96  3d5.4s.(5S).4p 4P*                                                     ,"L18349,L18361c138"
3d6.(3G).4p,y 2F*,7/2,,69606.567,,0.003,179.553,1.13,  66                                  :    11  3d6.(3F2).4p            2F*   ,"L18349,L18361c138"
3d6.(3G).4p,y 2F*,5/2,,69650.481,,0.003,43.914,0.857,  67                                  :     9  3d6.(3D).4p             2F*   ,"L18349,L18361c138"
