Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Splitting,Lande,Leading percentages,Reference
3d6.(3F2).5p,4D*,3/2,,110645.805,,0.004,33.975,,  37  3d6.(3F2).5p 4D*                :    15  3d6.(3F2).5p            4F*   ,L18349c137
3d5.(2F1).4s.4p.(3P*),2G*,9/2,,110660.690,,0.005,14.885,,  26  3d5.(2F1).4s.(1F).4p 2G*        :    15  3d6.(3F2).5p            4F*   ,L18349c137
3d6.(3H).5p,2H*,11/2,,110668.928,,0.004,8.238,,  92  3d6.(3H).5p 2H*                                                        ,L18349c137
3d6.(3H).5p,2H*,9/2,,110943.996,,0.004,275.068,,  90  3d6.(3H).5p 2H*                 :     2  3d6.(3F2).5p            4F*   ,L18349c137
3d6.(3F2).5p,2G*,9/2,,111443.614,,0.004,499.618,,  60  3d6.(3F2).5p 2G*                :    17  3d6.(3F1).5p            2G*   ,L18349c137
3d6.(3F2).5p,2F*,7/2,,111580.386,,0.004,136.772,,  58  3d6.(3F2).5p 2F*                :    18  3d6.(3F1).5p            2F*   ,L18349c137
3d6.(3H).5p,4H*,11/2,,111595.869,,0.004,15.483,,  23  3d6.(3H).5p 4H*                 :    22  3d5.(2H).4s.(3H).4p     4I*   ,L18349c137
3d5.(2H).4s.4p.(3P*),4I*,9/2,,111644.798,,0.004,48.929,,  54  3d5.(2H).4s.(3H).4p 4I*         :    14  3d6.(3H).5p             4H*   ,L18349c137
3d5.(4G).4s.(5G).4p,4H*,13/2,,111651.055,,0.004,6.257,,  25  3d6.(3H).5p 4H*                 :    22  3d5.(4G).4s.(5G).4p     4H*   ,L18349c137
3d6.(3H).5p,4H*,7/2,,111735.854,,0.004,84.799,,  34  3d6.(3H).5p 4H*                 :    23  3d5.(4G).4s.(5G).4p     4H*   ,L18349c137
3d6.(3F2).5p,2G*,7/2,,111744.362,,0.004,8.508,,  62  3d6.(3F2).5p 2G*                :    16  3d6.(3F1).5p            2G*   ,L18349c137
3d6.(3F2).5p,2F*,5/2,,111833.063,,0.004,88.701,,  57  3d6.(3F2).5p 2F*                :    16  3d6.(3F1).5p            2F*   ,L18349c137
3d6.(3F2).5p,4G*,11/2,,111886.812,,0.004,53.749,,  20  3d5.(2H).4s.(3H).4p 4I*         :    12  3d5.(4F).4s.(3F).4p     4G*   ,L18349c137
3d6.(3F2).5p,4G*,9/2,,111939.932,,0.004,53.120,,  23  3d6.(3F2).5p 4G*                :    12  3d6.(3F2).5p            4F*   ,"L18349,L18361c138"
3d5.(4F).4s.4p.(3P*),4G*,9/2,,112057.539,,0.004,117.607,,  18  3d5.(4F).4s.(3F).4p 4G*         :    13  3d6.(3F2).5p            4G*   ,L18349c137
3d6.(3F2).5p,4G*,7/2,,112072.860,,0.004,15.321,,  20  3d6.(3F2).5p 4G*                :    19  3d5.(4F).4s.(3F).4p     4G*   ,L18349c137
3d6.(3F2).5p,4G*,5/2,,112110.277,,0.004,37.417,,  23  3d6.(3F2).5p 4G*                :    21  3d5.(4F).4s.(3F).4p     4G*   ,L18349c137
3d5.(2H).4s.4p.(3P*),4I*,11/2,,112166.376,,0.005,56.099,,  50  3d5.(2H).4s.(3H).4p 4I*         :    11  3d6.(3F2).5p            4G*   ,L18349c137
3d6.(3G).5p,4F*,7/2,,112231.439,,0.004,65.063,,  25  3d5.(2G2).4s.(3G).4p 4F*        :    10  3d6.(3F2).5p            4F*   ,L18349c137
3d5.(4F).4s.4p.(3P*),4G*,11/2,,112344.103,,0.005,112.664,,  20  3d6.(3G).5p 4G*                 :    19  3d5.(2G2).4s.(3G).4p    4G*   ,L18349c137
3d6.(5D).7s,6D,9/2,,112397.186,,0.004,53.083,,                                                                             ,L18349
3d6.(5D).7s,6D,7/2,,112607.597,,0.004,210.411,,                                                                             ,L18349
3d6.(5D).7s,4D,7/2,,112876.116,,0.004,268.519,,                                                                             ,L18349
3d6.(5D<4>).5f,2[5]*,11/2,,112878.815,,0.005,2.699,,  91  3d6.(5D<4>).5f 2[5]*            :     9  3d6.(5D<4>).5f          2[6]* ,L18349c137
3d5.(6S).4p2,6P,5/2,,112882.497,,0.005,3.682,,                                                                             ,L18349
