# created_utc: 2025-08-11T14:20:48.160357Z
# generator: nist_lines_parser_v1
# ion: Zn_II
# raw_lines: data/raw/lines/Zn_II_lines_raw.csv
# raw_lines_sha256: bd9c5432b16170ddef44cbe4868ed4fbca0d6f0fd451375c03327b739f5466b8
# tidy_levels: data/tidy/levels/Zn_II_levels.csv
# tidy_levels_sha256: e4c9248ccd833974c589b02c3c4fc9c76da56dda8e7838db374cc2dab774cb6b
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
66,256.857,vacuum,1167.1570484744427,4826.97370153446,,60.0,7.0,energy_only|energy_only,0.003907414022251032,True,0.0,True,2F*,2D,5/2,5/2,odd,even,3d10.7f,3d10.4d,256.857,16.848535079491842,12.02155747054336
67,256.875,vacuum,1167.0752622871046,4826.635461041506,,59.0,7.0,energy_only|energy_only,0.0073905712943087565,True,1.0,True,2F*,2D,7/2,5/2,odd,even,3d10.7f,3d10.4d,256.875,16.84820032215616,12.02155747054336
68,257.142,vacuum,1165.8634451003725,4821.62378784888,,9.0,3.0,energy_only|energy_only,0.008495481200043287,True,1.0,True,2P*,2D,3/2,5/2,odd,even,3d10.5p,3d9.4s2,257.142,12.59820797730176,7.77659268493408
69,276.474,vacuum,1084.342317903311,4484.479495558485,,9.0,4.0,energy_only|energy_only,0.0007956381023177528,True,0.0,True,2P*,2D,3/2,3/2,odd,even,3d10.5p,3d9.4s2,276.474,12.59820797730176,8.113729277381378
70,278.363,vacuum,1076.983859205426,4454.047355629293,,8.0,4.0,energy_only|energy_only,0.006776416109460115,True,1.0,True,2P*,2D,1/2,3/2,odd,even,3d10.5p,3d9.4s2,278.363,12.56776985659456,8.113729277381378
71,280.277,vacuum,1069.6291811315234,4423.6308511045745,,49.0,7.0,energy_only|energy_only,0.0013636090252475697,True,1.0,True,2F*,2D,7/2,5/2,odd,even,3d10.6f,3d10.4d,280.277,16.44518968525696,12.02155747054336
72,290.315,vacuum,1032.6454299640047,4270.678346124165,,64.0,9.0,energy_only|energy_only,0.006961443195905304,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d10.8d,3d10.5p,290.315,16.86889328486912,12.59820797730176
73,317.2368,vacuum,945.0116064718846,3908.253973230838,,33.0,5.0,energy_only|energy_only,0.000514268339429691,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d10.6p,3d10.5s,317.2368,14.873062610493058,10.964809151530561
74,317.312,vacuum,944.7876474889067,3907.3277532997076,,52.0,8.0,energy_only|energy_only,0.0029359832274167275,True,1.0,True,2D,2P*,3/2,1/2,even,odd,3d10.7d,3d10.5p,317.312,16.47509467391104,12.56776985659456
75,319.724,vacuum,937.6601631407088,3877.8508465271198,,53.0,9.0,energy_only|energy_only,0.002926829683019605,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d10.7d,3d10.5p,319.724,16.476061750658562,12.59820797730176
76,319.804,vacuum,937.4256044327151,3876.8807896556546,,52.0,9.0,energy_only|energy_only,0.005906953626436007,True,0.0,True,2D,2P*,3/2,3/2,even,odd,3d10.7d,3d10.5p,319.804,16.47509467391104,12.59820797730176
77,330.037,vacuum,908.3601474986139,3756.675718343813,,36.0,6.0,energy_only|energy_only,0.003338548725878354,True,1.0,True,2F*,2D,5/2,3/2,odd,even,3d10.5f,3d10.4d,330.037,15.771955487944961,12.015276431052419
78,330.697,vacuum,906.5472562496788,3749.178202569231,,35.0,7.0,energy_only|energy_only,0.004769688051055709,True,1.0,True,2F*,2D,7/2,5/2,odd,even,3d10.5f,3d10.4d,330.697,15.770740442800642,12.02155747054336
79,380.739,vacuum,787.3962425703697,3256.409204350058,,39.0,8.0,energy_only|energy_only,0.001428633579507732,True,1.0,True,2D,2P*,3/2,1/2,even,odd,3d10.6d,3d10.5p,380.739,15.824177632311041,12.56776985659456
80,384.138,vacuum,780.4290593484634,3227.595249767107,,40.0,9.0,energy_only|energy_only,0.0014017587850503332,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d10.6d,3d10.5p,384.138,15.825801825310082,12.59820797730176
81,407.928,vacuum,734.9151271793061,3039.3647507771884,,34.0,8.0,energy_only|energy_only,0.003712779747274908,True,0.0,True,2S,2P*,1/2,1/2,even,odd,3d10.7s,3d10.5p,407.928,15.607130894592002,12.56776985659456
82,412.055,vacuum,727.5544720971715,3008.9235273326058,,34.0,9.0,energy_only|energy_only,0.000610042363859975,True,1.0,True,2S,2P*,1/2,3/2,even,odd,3d10.7s,3d10.5p,412.055,15.607130894592002,12.59820797730176
83,491.298,vacuum,610.2049224706798,2523.6047858021752,,29.0,6.0,energy_only|energy_only,0.0018243230060761562,True,1.0,True,2F*,2D,5/2,3/2,odd,even,3d10.4f,3d10.4d,491.298,14.538883041177602,12.015276431052419
84,492.523,vacuum,608.6872247590468,2517.3280924038813,,29.0,7.0,energy_only|energy_only,0.002521769639770355,True,0.0,True,2F*,2D,5/2,5/2,odd,even,3d10.4f,3d10.4d,492.523,14.538883041177602,12.02155747054336
85,492.538,vacuum,608.6686874921327,2517.2514284279323,,28.0,7.0,energy_only|energy_only,0.00024831273321979097,True,1.0,True,2F*,2D,7/2,5/2,odd,even,3d10.4f,3d10.4d,492.538,14.538808650658561,12.02155747054336
86,589.6,vacuum,508.46753392130256,2102.8527545031156,,4.0,1.0,energy_only|energy_only,0.0013997521382407285,True,1.0,True,2D,2P*,3/2,1/2,even,odd,3d9.4s2,3d10.4p,589.6,8.113729277381378,6.0108779226304
87,602.29,vacuum,497.7543342907902,2058.5465208704063,,30.0,8.0,energy_only|energy_only,0.015198528123164579,True,1.0,True,2D,2P*,3/2,1/2,even,odd,3d10.5d,3d10.5p,602.29,14.62633157599309,12.56776985659456
88,610.42,vacuum,491.12489433504805,2031.129360202872,,31.0,9.0,energy_only|energy_only,0.005814667591721445,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d10.5d,3d10.5p,610.42,14.629343152172225,12.59820797730176
89,611.32,vacuum,490.40184845907214,2028.1390827308724,,30.0,9.0,energy_only|energy_only,0.01548403954211608,True,0.0,True,2D,2P*,3/2,3/2,even,odd,3d10.5d,3d10.5p,611.32,14.62633157599309,12.59820797730176
90,621.635,vacuum,482.26444456956256,1994.4854843357227,,4.0,2.0,energy_only|energy_only,0.0012783542820216098,True,0.0,True,2D,2P*,3/2,3/2,even,odd,3d9.4s2,3d10.4p,621.635,8.113729277381378,6.119245071399937
91,748.088,vacuum,400.74490968976914,1657.3477773404156,,3.0,2.0,energy_only|energy_only,0.00016380627243961499,True,1.0,True,2D,2P*,5/2,3/2,even,odd,3d9.4s2,3d10.4p,748.088,7.77659268493408,6.119245071399937
92,759.06,vacuum,394.9522541037599,1633.3912787593035,,9.0,5.0,energy_only|energy_only,0.007547011896804179,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d10.5p,3d10.5s,759.06,12.59820797730176,10.964809151530561
93,761.49,vacuum,393.6919171624053,1628.1789439848676,,26.0,8.0,energy_only|energy_only,0.0035724922579447593,True,0.0,True,2S,2P*,1/2,1/2,even,odd,3d10.6s,3d10.5p,761.49,14.19594522808717,12.56776985659456
94,773.47,vacuum,387.5941639624032,1602.9606630574385,,8.0,5.0,energy_only|energy_only,4.200656280772819e-05,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d10.5p,3d10.5s,773.47,12.56776985659456,10.964809151530561
95,776.0,vacuum,386.33048711340206,1597.7345155348412,,26.0,9.0,energy_only|energy_only,0.002735250569458003,True,1.0,True,2S,2P*,1/2,3/2,even,odd,3d10.6s,3d10.5p,776.0,14.19594522808717,12.59820797730176
