# created_utc: 2025-08-09T20:27:22.153019Z
# generator: nist_lines_parser_v1
# ion: Cu_I
# raw_lines: data/raw/lines/Cu_I_lines_raw.csv
# raw_lines_sha256: 4c7a2d952e6309573cb06548d82a32a15a00e9c0721fef4c370dcd6590bcc32d
# tidy_levels: data/tidy/levels/Cu_I_levels.csv
# tidy_levels_sha256: 7b6f206c2da9115978c18f90c7cad21d8a50792b813a159312bed9075b6eb3de
# wavelength_medium: vacuum
# energy_tol_meV: 0.5
# parser_version: v1.0
line_id,wavelength_nm,wavelength_medium,frequency_THz,photon_energy_meV,photon_sigma_meV,upper_id,lower_id,match_method,residual_meV,E1_allowed,dJ,parity_change,Term_upper,Term_lower,J_upper,J_lower,Parity_upper,Parity_lower,Configuration_upper,Configuration_lower,lambda_photon_nm,upper_E_eV,lower_E_eV
72,121.826,vacuum,2460.82493063878,10177.154171154245,,288,0,energy_only|energy_only,0.0019655708765640156,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).7f,3d10.4s,121.826,10.177156136725122,0.0
73,121.972,vacuum,2457.8793329616633,10164.97215799558,,287,0,energy_only|energy_only,0.003667973180199624,True,0.0,True,4P*,2S,1/2,1/2,odd,even,3d9.4s.(3D).8p,3d10.4s,121.972,10.164968490022401,0.0
74,121.995,vacuum,2457.4159432763636,10163.055732243425,,286,0,energy_only|energy_only,0.003401123616640689,True,1.0,True,4P*,2S,3/2,1/2,odd,even,3d9.4s.(3D).9p,3d10.4s,121.995,10.163059133367042,0.0
75,122.1291,vacuum,2454.7176553335776,10151.89650996394,,285,0,energy_only|energy_only,0.0040455470989400055,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).5f<5/2>,3d10.4s,122.1291,10.151900555511041,0.0
76,122.139,vacuum,2454.5186877246415,10151.073646051113,,284,0,energy_only|energy_only,0.003784669352171477,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).5f<5/2>,3d10.4s,122.139,10.15106986138176,0.0
77,122.4849,vacuum,2447.5870739985094,10122.406795082798,,283,0,energy_only|energy_only,0.002080371117699542,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d9.4s.(3D<1>).7p,3d10.4s,122.4849,10.122404714711681,0.0
78,122.529,vacuum,2446.7061511968595,10118.763591109344,,281,0,energy_only|energy_only,0.0040118306224030675,True,0.0,True,4D*,2S,1/2,1/2,odd,even,3d9.4s.(3D).7p?,3d10.4s,122.529,10.118759579278722,0.0
79,122.529,vacuum,2446.7061511968595,10118.763591109344,,281,0,energy_only|energy_only,0.0040118306224030675,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d9.4s.(1D).6p?,3d10.4s,122.529,10.118759579278722,0.0
80,123.209,vacuum,2433.2025907198336,10062.917352263525,,276,0,energy_only|energy_only,0.0002559441636549309,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).6f,3d10.4s,123.209,10.06291709631936,0.0
81,123.328,vacuum,2430.854777503892,10053.207576990115,,275,0,energy_only|energy_only,0.0015565945250273217,True,1.0,True,4P*,2S,3/2,1/2,odd,even,3d9.4s.(3D).8p,3d10.4s,123.328,10.053209133584641,0.0
82,123.542,vacuum,2426.6440400835345,10035.793366264405,,274,0,energy_only|energy_only,0.0040125549621734535,True,1.0,True,2P*,2S,3/2,1/2,odd,even,3d9.4s.(1D).6p?,3d10.4s,123.542,10.035789353709442,0.0
83,124.2569,vacuum,2412.682579398005,9978.053404318285,,267,0,energy_only|energy_only,0.0034918037254101364,True,0.0,True,4P*,2S,1/2,1/2,odd,even,3d9.4s.(3D).7p,3d10.4s,124.2569,9.97804991251456,0.0
84,124.3401,vacuum,2411.068175110041,9971.376764656268,,265,0,energy_only|energy_only,0.0027979843744105892,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).5f,3d10.4s,124.3401,9.971379562640642,0.0
85,125.315,vacuum,2392.3110401787494,9893.803487651412,,262,0,energy_only|energy_only,0.0008379496521229157,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).5f,3d10.4s,125.315,9.89380264970176,0.0
86,125.5531,vacuum,2387.7742405404565,9875.0407919441,,257,0,energy_only|energy_only,0.0030485397419397486,True,1.0,True,4P*,2S,3/2,1/2,odd,even,3d9.4s.(3D).7p,3d10.4s,125.5531,9.875043840483842,0.0
87,126.012,vacuum,2379.0786433038124,9839.078691355084,,255,0,energy_only|energy_only,0.002666827083885437,True,1.0,True,"(1,5/2)*",2S,3/2,1/2,odd,even,3d9.4s.(3D<1>).4f<5/2>,3d10.4s,126.012,9.839076024528001,0.0
88,126.71,vacuum,2365.973151290348,9784.878731394814,,247,0,energy_only|energy_only,0.0038000125459802803,True,0.0,True,2P*,2S,1/2,1/2,odd,even,3d9.4s.(3D).6p,3d10.4s,126.71,9.78488253140736,0.0
89,126.7549,vacuum,2365.135059867508,9781.41266377108,,246,0,energy_only|energy_only,0.0016899189195100917,True,0.0,True,4D*,2S,1/2,1/2,odd,even,3d9.4s.(3D).6p,3d10.4s,126.7549,9.78141097385216,0.0
90,128.728,vacuum,2328.8830557454476,9631.486421408215,,233,0,energy_only|energy_only,0.0028597386644833023,True,0.0,True,4P*,2S,1/2,1/2,odd,even,3d9.4s.(3D).6p,3d10.4s,128.728,9.63148928114688,0.0
91,128.828,vacuum,2327.075309715279,9624.010184548675,,232,0,energy_only|energy_only,0.00284943468432175,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<2>).4f,3d10.4s,128.828,9.62401303398336,0.0
92,129.371,vacuum,2317.308036576976,9583.615988552587,,231,0,energy_only|energy_only,0.002993592055645422,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).4f,3d10.4s,129.371,9.583618982144642,0.0
93,129.388,vacuum,2317.003570655702,9582.356818677441,,230,0,energy_only|energy_only,0.002475356481227209,True,1.0,True,*,2S,"1/2,3/2",1/2,odd,even,3d9.4s.(3D<3>).4f,3d10.4s,129.388,9.58235434332096,0.0
